Course,Section,classtype,Title,Dept,Half,AV Requirements,Instructors,Anticipated Enrollment,Respect Room,Respect Time,Days 1,Start Time 1,End Time 1,Room 1,Days 2,Start Time 2,End Time 2,Room 2,Days 3,Start Time 3,End Time 3,Room 3
15.S10,,,Operations Lab,Operations,,,"D. Rosenfield, Z. Ton",35,,,M,1:00 PM,2:30 PM,E62-221,M,10:00 AM,11:30 AM,E51-372,,,,
15.81,A,,Marketing Management  ,Marketing,H1,,J. Zhang,57,,,"M, W, F",1:00 PM,2:30 PM,E62-250,,,,,,,,
15.81,B,,Marketing Management ,Marketing,H1,,J. Zhang,57,,,"M, W, F",2:30 PM,4:00 PM,E62-250,,,,,,,,
15.812,A,,"Marketing Management (Ugrad, non sloan)",Marketing, ,,J. Zhang,76,,,"T, Th",1:00 PM,2:30 PM,E51-335,,,,,,,,
15.812,B,,"Marketing Management (Ugrad, non sloan)",Marketing, ,,J. Zhang,76,,,"T, Th",2:30 PM,4:00 PM,E51-335,,,,,,,,
15.818,A,,Pricing,Marketing,H2,,C. Tucker,80,,,"M, W, F",10:00 AM,11:30 AM,E62-223,,,,,,,,
15.818,B,,Pricing,Marketing,H2,,C. Tucker,80,,,"M, W, F",1:00 PM,2:30 PM,E62-223,,,,,,,,
15.82,,,Customer Analytics,Marketing, ,video projector,M. Braun,60,,,"M , W ",2:30 PM,4:00 PM,E62-223,,,,,,,,
15.82,,,Customer Analytics,Marketing, ,video projector,M. Braun,60,,,F ,2:30 PM,4:00 PM,E62-223,,,,,,,,
15.834,A,,Marketing Stategy,Marketing,H1,,B. Wernerfelt,50,,,"M, W, F",10:00 AM,11:30 AM,E51-315,,,,,,,,
15.834,B,,Marketing Stategy,Marketing,H1,,B. Wernerfelt,50,,,"M, W, F",1:00 PM,2:30 PM,E51-315,,,,,,,,
15.839,,,Workshop in Marketing ,Marketing,,,D. Prelec,36,,,M ,4:00 PM,5:30 PM,E51-385,,,,,,,,
15.846,A,,Branding,Marketing,H2,,R. Gosline,86,,,"T, Th",10:00 AM,11:30 AM,E62-223,"T, Th",10:00 AM,11:30 AM,E62-262,"T, Th",10:00 AM,11:30 AM,E51-325
15.846,B,,Branding,Marketing,H2,,R. Gosline,86,,,"T, Th",1:00 PM,2:30 PM,E62-223,"T, Th",1:00 PM,2:30 PM,E62-262,"T, Th",1:00 PM,2:30 PM,E51-325
15.847,A,,Cosumer Behavior,Marketing,,,J. Ackerman,86,,,"T, Th",10:00 AM,11:30 AM,E62-223,"T, Th",1:00 PM,2:30 PM,E62-223,,,,
15.847,B,,Cosumer Behavior,Marketing,,,J. Ackerman,67,,,"T, Th",1:00 PM,2:30 PM,E51-335,"T, Th",2:30 PM,4:00 PM,E51-149,,,,
15.828,,,Marketing New Products,Marketing,H1,video projector,M. Braun,50,,,"M, W ",10:00 AM,11:30 AM,E62-223,,,,,,,,
15.S01,,,App of Little's Law,Marketing,H1,,J. Little,40,,,"M, W",2:30 PM,4:00 PM,E52-175,,,,,,,,
15.871,A,,Introduction to System Dynamics,System Dynamics,H1,,D. Centola,85,,,"M , W ",1:00 PM,2:30 PM, E62-262,,,,,,,,
15.871,A,Rec,Introduction to System Dynamics ,System Dynamics,H1,,Cen1,85,,,F ,10:00 AM,11:30 AM,E51-315,,,,,,,,
15.871,B,,Introduction to System Dynamics ,System Dynamics,H1,,D. Centola,85,,,"M , W ",2:30 PM,4:00 PM, E62-262,,,,,,,,
15.871,B,Rec,Introduction to System Dynamics,System Dynamics,H1,,Cen2,85,,,F ,1:00 PM,2:30 PM,E51-335,,,,,,,,
15.872,A,,System Dynamics II,System Dynamics,H2,,D. Centola,85,,,"M , W ",1:00 PM,2:30 PM, E62-262,,,,,,,,
15.872,A,Rec,System Dynamics II ,System Dynamics,H2,,Cen3,85,,,F ,10:00 AM,11:30 AM,E51-315,,,,,,,,
15.878,,,Capstone Sem in Sustainability,System Dynamics,H2,,M. Amangual,30,,,"M, W",1:00 PM,2:30 PM,E62-221,,,,,,,,
15.879,,,Research Sem in Sys Dyn,System Dynamics,,,D. Centola,20,y,y,Th,2:00 PM,5:00 PM,E62-446,,,,,,,,
14.01,,,,Non Sloan,,,a,1,y,y,"M, W",9:00 AM,12:00 PM,E51-057,,,,,,,,
14.02,,,,Non Sloan,,,b,1,y,y,"M, W",9:00 AM,10:30 AM,E51-063,,,,,,,,
14.03,,,,Non Sloan,,,c,1,y,y,"M, W",9:00 AM,2:30 PM,E51-361,,,,,,,,
14.04,,,,Non Sloan,,,d,1,y,y,"M, W",1:00 PM,4:00 PM,E51-372,,,,,,,,
14.05,,,,Non Sloan,,,e,1,y,y,"M, W",10:30 AM,12:00 PM,E51-376,,,,,,,,
14.06,,,,Non Sloan,,,f,1,y,y,"M, W",2:30 PM,6:00 PM,E51-376,,,,,,,,
14.07,,,,Non Sloan,,,g,1,y,y,W,6:00 PM,7:00 PM,E51-376,,,,,,,,
14.08,,,,Non Sloan,,,h,1,y,y,"M, W",1:00 PM,5:00 PM,E51-390,,,,,,,,
14.09,,,,Non Sloan,,,i,1,y,y,"M, W",9:30 AM,11:00 AM,E51-393,,,,,,,,
14.1,,,,Non Sloan,,,j,1,y,y,"M, W",1:00 PM,5:00 PM,E51-393,,,,,,,,
14.11,,,,Non Sloan,,,k,1,y,y,M ,5:30 PM,7:00 PM,E51-395,,,,,,,,
14.12,,,,Non Sloan,,,l,1,y,y,W,4:00 PM,6:00 PM,E51-395,,,,,,,,
14.13,,,,Non Sloan,,,m,1,y,y,"T, Th",10:30 AM,12:00 PM,E51-057,,,,,,,,
14.14,,,,Non Sloan,,,n,1,y,y,T ,4:00 PM,9:00 PM,E51-057,,,,,,,,
14.015,,,,Non Sloan,,,o,1,y,y,"T, Th",9:00 AM,10:30 AM,E51-061,,,,,,,,
14.16,,,,Non Sloan,,,p,1,y,y,Th,6:00 PM,9:00 PM,E51-145,,,,,,,,
14.17,,,,Non Sloan,,,q,1,y,y,Th,6:00 PM,9:00 PM,E51-149,,,,,,,,
14.18,,,,Non Sloan,,,r,1,y,y,"T, Th",9:00 AM,1:00 PM,E51-151,,,,,,,,
14.19,,,,Non Sloan,,,s,1,y,y,Th,4:00 PM,7:30 PM,E51-151,,,,,,,,
14.2,,,,Non Sloan,,,t,1,y,y,"T, Th",1:00 PM,5:00 PM,E51-361,,,,,,,,
14.21,,,,Non Sloan,,,u,1,y,y,"T, Th",1:00 PM,6:00 PM,E51-372,,,,,,,,
14.22,,,,Non Sloan,,,v,1,y,y,"T, Th",8:30 AM,10:00 AM,E51-376,,,,,,,,
14.23,,,,Non Sloan,,,w,1,y,y,"T, Th",2:30 PM,4:00 PM,E51-376,,,,,,,,
14.24,,,,Non Sloan,,,x,1,y,y,T ,1:00 PM,3:00 PM,E51-390,,,,,,,,
14.25,,,,Non Sloan,,,y,1,y,y,"T, Th",1:00 PM,2:30 PM,E52-175,,,,,,,,
14.26,,,,Non Sloan,,,z,1,y,y,F,9:00 AM,10:00 AM,E51-057,,,,,,,,
14.27,,,,Non Sloan,,,a1,1,y,y,F,10:00 AM,11:00 AM,E51-061,,,,,,,,
14.28,,,,Non Sloan,,,a2,1,y,y,F,2:00 PM,3:00 PM,E51-061,,,,,,,,
14.29,,,,Non Sloan,,,a3,1,y,y,F,12:00 PM,1:00 PM,E51-063,,,,,,,,
14.3,,,,Non Sloan,,,a4,1,y,y,F,2:00 PM,3:00 PM,E51-063,,,,,,,,
14.31,,,,Non Sloan,,,a5,1,y,y,F,12:00 PM,2:30 PM,E51-085,,,,,,,,
14.32,,,,Non Sloan,,,a6,1,y,y,F,3:00 PM,4:00 PM,E51-145,,,,,,,,
14.33,,,,Non Sloan,,,a7,1,y,y,F,9:00 AM,12:00 PM,E51-151,,,,,,,,
14.34,,,,Non Sloan,,,a8,1,y,y,F,1:00 PM,2:30 PM,E51-361,,,,,,,,
14.35,,,,Non Sloan,,,a9,1,y,y,F,2:30 PM,4:00 PM,E51-372,,,,,,,,
14.36,,,,Non Sloan,,,a10,1,y,y,F,12:00 PM,1:00 PM,E51-385,,,,,,,,
14.37,,,,Non Sloan,,,a11,1,y,y,F,10:30 AM,12:00 PM,E51-395,,,,,,,,
14.38,,,,Non Sloan,,,a12,1,y,y,F,1:00 PM,2:00 PM,E51-395,,,,,,,,
