Course,Section,classtype,Title,Dept,Half,AV Requirements,Instructors,Anticipated Enrollment,Respect Room,Respect Time,Days 1,Start Time 1,End Time 1,Room 1,Days 2,Start Time 2,End Time 2,Room 2,Days 3,Start Time 3,End Time 3,Room 3
15.22,D,,Global Strategy,GEM,H2,,E. Obukhova,70,,Y,"T, Th",2:30 PM,4:00 PM,,,,,,,,,
15.223,A,,"Global Markets, National Policies",GEM,H1,,E. Obukhova,50,,Y,"T, Th",1:00 PM,2:30 PM,E51-395,,,,,,,,
15.223,B,,"Global Markets, National Policies",GEM,H1,,E. Obukhova,50,,Y,"T, Th",2:30 PM,4:00 PM,E51-395,,,,,,,,
15.225,A,,Econ and Bus in China & India,GEM,H1,,Y. Huang,70,,Y,"T, Th",1:00 PM,2:30 PM,E62-223,,,,,,,,
15.225,B,,Econ and Bus in China & India,GEM,H1,,Y. Huang,70,,Y,"T, Th",2:30 PM,4:00 PM,E62-223,,,,,,,,
15.228,A,,SSIM: MBA Tour,GEM,H1,,TBD,25,,,M ,6:00 PM,9:00 PM,E51-372,,,,,,,,
15.228,B,,SSIM: MBA Tour,GEM,H1,,TBD,25,,,M ,6:00 PM,9:00 PM,E51-376,,,,,,,,
15.228,C,,SSIM: MBA Tour,GEM,H1,,TBD,25,,,M ,6:00 PM,9:00 PM,E51-335,,,,,,,,
15.228,D,,SSIM: MBA Tour,GEM,H1,,TBD,25,,,M ,6:00 PM,9:00 PM,E51-395,,,,,,,,
15.229,,,Managing Global Intergration,GEM,H2,,J. Santos,33,,,"M, W",8:30 AM,10:00 AM,E62-250,,,,,,,,
15.S09,,,Intl Action Learning Lab,GEM,,,"Y. Huang, M. Jester",76,,Y,"T, Th",4:00 PM,5:30 PM,E62-223,,,,,,,,
15.S04,,,The Euro Area Crisis,GEM,H1,,A. Orphanides,60,,,M,4:00 PM,7:00 PM,E51-145,T,4:00 PM,7:00 PM,E51-145,W,4:00 PM,7:00 PM,E51-145
15.S05,,,"Central Banks, Monetary Policy and Glob. ",GEM,H2,,S. Orphanides,60,,,M,4:00 PM,7:00 PM,E51-145,T,4:00 PM,7:00 PM,E51-145,W,4:00 PM,7:00 PM,E51-145
15.S07,,,Global Health Lab,GEM,,,A. Sastry,57,,,"T, Th",4:00 PM,5:30 PM,E62-250,,,,,,,,
15.268,,,Choice Points,Communication,,,R. McKersie,40,,,F,10:00 AM,12:00 PM,E52-175,,,,,,,,
15.27, ,,"Ethical Practice: Prof., Social Resp.",Communication,,,L. Hafrey,67, , ,"M, W",2:30 PM,4:00 PM,E62-262,,,,,,,,
15.279,A,,Management Communication for Undergraduates,Communication,,,T. Heagney,25, ,y,"T, Th",11:30 AM,1:00 PM,E51-376,,,,,,,,
15.281,A,,Advanced Leadership Comm.,Communication,,,N. Hartman,30,,Y,"M, W",1:00 PM,2:30 PM,E62-250,,,,,,,,
15.281,B ,,Advanced Leadership Comm.,Communication,,,N. Hartman,30,,Y,"M, W",2:30 PM,4:00 PM,E62-250,,,,,,,,
15.281,C,,Advanced Leadership Comm.,Communication,,,K. Blackburn,30,,,"T , Th",10:00 AM,11:30 AM,E62-221,,,,,,,,
15.28,B2,,Communication for Leaders,Communication,,,M. Capek,67,,Y,"T , Th",2:30 PM,4:00 PM, E51-335,,,,,,,,
15.28,C1,,Communication for Leaders,Communication,,,V. Healy-Tangney,67,,Y,"T , Th",4:00 PM,5:30 PM,E51-372,,,,,,,,
15.28,C2,,Communication for Leaders,Communication,,,M. Capek,67,,Y,"T , Th",4:00 PM,5:30 PM, E51-335,,,,,,,,
15.28,D1,,Communication for Leaders,Communication,,,C. Kelly,67,,Y,"T , Th",4:00 PM,5:30 PM,E51-145,,,,,,,,
15.28,D2,,Communication for Leaders,Communication,,,R. Pittore,67,,Y,"T , Th",4:00 PM,5:30 PM, E51-325,,,,,,,,
15.28,E1,,Communication for Leaders,Communication,,,N. Hartman,67,,Y,"T , Th",1:00 PM,2:30 PM, E51-325,,,,,,,,
15.28,E2,,Communication for Leaders,Communication,,,V. Gauthier,67,,Y,"T , Th",1:00 PM,2:30 PM,E51-145,,,,,,,,
15.28,F1,,Communication for Leaders,Communication,,,V. Gauthier,67,,Y,"T , Th",2:30 PM,4:00 PM,E51-145,,,,,,,,
15.28,F2,,Communication for Leaders,Communication,,,N. Hartman,67,,Y,"T , Th",2:30 PM,4:00 PM, E51-325,,,,,,,,
15.S03,,,EnActing Leadership: Shakespeare,Communication,,,C. Kelly,26,y,,W,4:00 PM,7:00 PM,E62-233,,,,,,,,
15.S03,,REC,EnActing Leadership: Shakespeare (break out space),Communication,,,C. Kelly,26,,y,W,4:00 PM,7:00 PM,E62-221,,,,,,,,
15.301,,,Managerial Psychology Laboratory (meets w 15.310),Org Studies,,,P. Osterman,100,y,Y,"M , W ",11:00 AM,12:00 PM,E25-111,,,,,,,,
